Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10636401,2,"Wednesday, January  9, 2013 23:43:40 UTC",62.1913,-151.2868,1.3,74.50,14,"Central Alaska"
us,b000elbr,8,"Wednesday, January  9, 2013 23:35:06 UTC",38.0255,-77.9857,2.0,5.10, 8,"Virginia"
us,b000elbt,9,"Wednesday, January  9, 2013 23:27:30 UTC",37.4918,-3.7464,3.5,21.00, 0,"Spain"
ak,10636400,2,"Wednesday, January  9, 2013 23:16:03 UTC",55.1320,-134.6568,3.0,20.00, 9,"Southeastern Alaska"
nc,71918426,0,"Wednesday, January  9, 2013 22:29:45 UTC",38.7717,-122.7562,1.1,2.00,16,"Northern California"
ak,10635532,2,"Wednesday, January  9, 2013 22:19:35 UTC",60.7426,-150.2119,1.7,44.20,22,"Kenai Peninsula, Alaska"
nc,71918416,2,"Wednesday, January  9, 2013 22:18:24 UTC",37.3270,-122.1063,1.5,0.00,23,"San Francisco Bay area, California"
ak,10635505,3,"Wednesday, January  9, 2013 22:05:06 UTC",60.7436,-150.1726,4.1,49.70,104,"Kenai Peninsula, Alaska"
ci,15271705,2,"Wednesday, January  9, 2013 22:03:34 UTC",33.2622,-115.5598,1.8,7.00,16,"Southern California"
us,b000eln7,4,"Wednesday, January  9, 2013 21:46:03 UTC",-57.0584,-141.4512,5.6,13.70,41,"Pacific-Antarctic Ridge"
us,b000el6y,4,"Wednesday, January  9, 2013 21:20:07 UTC",-1.9075,68.0575,4.8,10.00,56,"Carlsberg Ridge"
us,b000el63,5,"Wednesday, January  9, 2013 21:05:01 UTC",0.7579,92.7268,5.0,14.90,64,"off the west coast of northern Sumatra"
nc,71918356,2,"Wednesday, January  9, 2013 20:52:31 UTC",36.8438,-121.3662,1.3,6.10,35,"Central California"
ak,10635481,2,"Wednesday, January  9, 2013 20:52:15 UTC",60.0389,-151.5940,1.6,59.80,14,"Kenai Peninsula, Alaska"
ak,10635474,2,"Wednesday, January  9, 2013 20:32:58 UTC",62.2125,-149.2446,1.3,45.10,20,"Central Alaska"
ci,15271697,2,"Wednesday, January  9, 2013 20:25:08 UTC",35.6733,-116.5732,1.9,0.10,23,"Southern California"
ak,10636394,2,"Wednesday, January  9, 2013 20:17:24 UTC",55.6202,-135.0047,3.3,20.00,19,"off the coast of Southeastern Alaska"
ak,10635465,2,"Wednesday, January  9, 2013 20:07:03 UTC",63.4525,-152.6082,1.4,3.80,12,"Central Alaska"
ak,10636392,2,"Wednesday, January  9, 2013 20:05:46 UTC",63.0597,-151.4753,1.1,6.80,11,"Central Alaska"
ci,15271689,2,"Wednesday, January  9, 2013 19:59:50 UTC",32.7852,-116.1292,1.1,6.50,25,"Southern California"
nc,71918291,2,"Wednesday, January  9, 2013 19:31:07 UTC",40.7513,-122.3138,1.7,0.00,11,"Northern California"
ak,10636391,2,"Wednesday, January  9, 2013 19:24:20 UTC",55.4413,-134.8847,2.4,20.00, 7,"Southeastern Alaska"
nc,71918281,3,"Wednesday, January  9, 2013 18:57:38 UTC",36.2792,-120.8398,1.6,8.40,45,"Central California"
ak,10634043,2,"Wednesday, January  9, 2013 18:52:43 UTC",61.5521,-148.3719,1.1,15.90,17,"Southern Alaska"
ci,15271665,2,"Wednesday, January  9, 2013 18:48:35 UTC",33.9822,-117.1792,1.1,13.20,32,"Greater Los Angeles area, California"
us,b000el2d,B,"Wednesday, January  9, 2013 18:38:41 UTC",-17.8823,-69.4219,5.0,78.90,170,"Tarapaca, Chile"
nc,71918266,3,"Wednesday, January  9, 2013 18:13:09 UTC",37.5590,-122.4317,2.2,11.00,94,"San Francisco Bay area, California"
nc,71918271,2,"Wednesday, January  9, 2013 18:12:06 UTC",35.8323,-121.3268,1.7,8.70,24,"Central California"
nc,71918261,0,"Wednesday, January  9, 2013 18:00:42 UTC",38.8282,-122.8510,1.4,2.50,23,"Northern California"
ak,10634015,2,"Wednesday, January  9, 2013 17:50:49 UTC",51.3771,177.2457,3.5,4.80,16,"Rat Islands, Aleutian Islands, Alaska"
nc,71918251,3,"Wednesday, January  9, 2013 17:38:26 UTC",38.8102,-122.8218,1.4,2.60,48,"Northern California"
ci,15271649,2,"Wednesday, January  9, 2013 17:25:46 UTC",35.5665,-118.5293,1.5,0.60,23,"Central California"
ci,15271641,2,"Wednesday, January  9, 2013 17:15:57 UTC",34.3395,-116.8895,1.2,1.00,33,"Southern California"
ci,15271625,2,"Wednesday, January  9, 2013 16:55:04 UTC",35.7815,-117.5583,1.6,6.80,43,"Southern California"
us,2013kebc,2,"Wednesday, January  9, 2013 16:30:57 UTC",-7.2260,144.0722,4.5,35.00,20,"near the south coast of New Guinea, Papua New Guinea"
nc,71918236,2,"Wednesday, January  9, 2013 16:21:08 UTC",36.2442,-120.8002,1.2,7.00,25,"Central California"
nc,71918231,2,"Wednesday, January  9, 2013 16:15:22 UTC",37.5133,-118.8723,1.1,7.20,22,"Central California"
nc,71918226,0,"Wednesday, January  9, 2013 16:13:30 UTC",38.8158,-122.7837,1.2,2.40,20,"Northern California"
ci,15271609,2,"Wednesday, January  9, 2013 16:03:46 UTC",33.0600,-117.7388,1.2,7.00, 9,"Gulf of Santa Catalina, California"
ak,10633977,2,"Wednesday, January  9, 2013 16:02:45 UTC",50.8649,-179.3096,2.8,4.90,16,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10633972,2,"Wednesday, January  9, 2013 15:52:09 UTC",62.1866,-149.6685,1.2,50.00,18,"Central Alaska"
us,2013kea6,A,"Wednesday, January  9, 2013 15:41:33 UTC",39.7105,25.6298,4.4,9.00,90,"Aegean Sea"
ak,10633969,3,"Wednesday, January  9, 2013 15:35:56 UTC",59.0103,-137.0533,1.8,3.60,14,"British Columbia, Canada"
ak,10633965,3,"Wednesday, January  9, 2013 15:27:07 UTC",63.0736,-150.9935,1.4,122.20,21,"Central Alaska"
nc,71918216,2,"Wednesday, January  9, 2013 15:17:57 UTC",37.6317,-119.3948,1.5,4.80, 9,"Central California"
ak,10636378,2,"Wednesday, January  9, 2013 15:01:38 UTC",62.1876,-149.5727,1.0,54.80,13,"Central Alaska"
ak,10633956,3,"Wednesday, January  9, 2013 14:47:32 UTC",55.3552,-134.7812,3.9,20.00,39,"Southeastern Alaska"
nc,71918201,3,"Wednesday, January  9, 2013 14:37:51 UTC",37.3743,-121.7340,1.9,6.50,71,"San Francisco Bay area, California"
ak,10636376,2,"Wednesday, January  9, 2013 14:36:15 UTC",55.8675,-135.2947,2.1,20.00, 7,"off the coast of Southeastern Alaska"
ak,10633944,2,"Wednesday, January  9, 2013 14:32:02 UTC",60.5362,-149.6303,2.1,17.10,41,"Kenai Peninsula, Alaska"
nc,71919181,2,"Wednesday, January  9, 2013 14:21:24 UTC",37.6450,-119.3422,1.1,15.60,12,"Central California"
ak,10633937,2,"Wednesday, January  9, 2013 14:20:55 UTC",62.8762,-149.6199,1.4,77.70,29,"Central Alaska"
hv,60448501,2,"Wednesday, January  9, 2013 14:20:45 UTC",19.7687,-156.0377,2.4,10.30,12,"Hawaii region, Hawaii"
nc,71918186,1,"Wednesday, January  9, 2013 14:11:51 UTC",38.8242,-122.8225,1.8,2.40,29,"Northern California"
ak,10633930,2,"Wednesday, January  9, 2013 14:01:58 UTC",65.1297,-150.1460,1.1,2.60,14,"northern Alaska"
ak,10636371,2,"Wednesday, January  9, 2013 13:54:36 UTC",51.8203,176.3593,2.9,25.30, 5,"Rat Islands, Aleutian Islands, Alaska"
nn,00399130,9,"Wednesday, January  9, 2013 13:50:47 UTC",37.2731,-114.3627,3.0,5.80,11,"Nevada"
nc,71918176,0,"Wednesday, January  9, 2013 13:46:24 UTC",38.8142,-122.8200,1.0,3.40,15,"Northern California"
ak,10633920,2,"Wednesday, January  9, 2013 13:46:21 UTC",61.5633,-147.9181,1.7,19.80,33,"Southern Alaska"
ak,10633911,2,"Wednesday, January  9, 2013 13:24:37 UTC",60.2744,-150.9148,2.3,68.00,57,"Kenai Peninsula, Alaska"
ak,10636367,2,"Wednesday, January  9, 2013 13:09:02 UTC",55.8934,-135.1920,2.2,20.00, 5,"off the coast of Southeastern Alaska"
uu,60009942,3,"Wednesday, January  9, 2013 13:04:48 UTC",37.3843,-114.0350,1.0,9.40, 8,"Utah"
nc,71918161,3,"Wednesday, January  9, 2013 13:04:26 UTC",38.8138,-122.8188,2.0,3.10,60,"Northern California"
nc,71918151,3,"Wednesday, January  9, 2013 12:46:18 UTC",39.6702,-123.6018,1.6,8.30,10,"Northern California"
ak,10633900,2,"Wednesday, January  9, 2013 12:38:17 UTC",63.2251,-150.7526,1.9,128.00,32,"Central Alaska"
hv,60448471,1,"Wednesday, January  9, 2013 12:29:16 UTC",19.4340,-155.4273,1.9,4.30,28,"Island of Hawaii, Hawaii"
nn,00399129,9,"Wednesday, January  9, 2013 12:26:11 UTC",38.6415,-118.5653,1.0,7.50, 7,"Nevada"
ak,10633893,2,"Wednesday, January  9, 2013 12:20:43 UTC",63.3107,-145.4962,1.3,5.50,15,"Central Alaska"
ci,15271577,8,"Wednesday, January  9, 2013 12:17:26 UTC",33.2323,-115.9408,1.3,10.00,24,"Southern California"
nc,71918141,0,"Wednesday, January  9, 2013 12:12:36 UTC",38.8650,-122.9873,1.7,6.50,17,"Northern California"
ak,10633890,2,"Wednesday, January  9, 2013 12:08:00 UTC",63.2825,-145.1372,1.2,10.00,15,"Central Alaska"
ak,10633882,2,"Wednesday, January  9, 2013 12:03:22 UTC",61.2180,-147.3853,1.5,25.40,18,"Southern Alaska"
ak,10633885,2,"Wednesday, January  9, 2013 12:02:40 UTC",65.1688,-150.1914,1.2,8.10,12,"northern Alaska"
nn,00399127,9,"Wednesday, January  9, 2013 11:49:42 UTC",36.8088,-115.4636,1.4,12.10,16,"Nevada"
ak,10636360,2,"Wednesday, January  9, 2013 11:44:50 UTC",55.2772,-134.6487,2.3,20.00, 9,"Southeastern Alaska"
nc,71918131,3,"Wednesday, January  9, 2013 11:34:41 UTC",40.4693,-124.9307,2.2,6.50,25,"offshore Northern California"
ak,10633875,2,"Wednesday, January  9, 2013 11:25:56 UTC",63.2066,-150.7169,1.3,130.90,20,"Central Alaska"
us,c000eltc,I,"Wednesday, January  9, 2013 11:21:18 UTC",-24.2680,-69.5220,5.1,115.30, 0,"Antofagasta, Chile"
ak,10636358,2,"Wednesday, January  9, 2013 11:14:48 UTC",55.7624,-135.0934,2.5,20.00, 8,"off the coast of Southeastern Alaska"
pr,13009002,0,"Wednesday, January  9, 2013 11:06:49 UTC",19.8519,-65.2875,3.4,18.00, 8,"Puerto Rico region"
us,c000elt6,6,"Wednesday, January  9, 2013 10:51:29 UTC",-1.9526,67.9601,4.9,10.00,42,"Carlsberg Ridge"
nn,00399123,9,"Wednesday, January  9, 2013 10:41:46 UTC",39.4689,-118.4519,1.1,3.60,12,"Nevada"
nc,71918116,2,"Wednesday, January  9, 2013 10:36:47 UTC",35.8947,-121.4778,1.9,8.70,39,"offshore Central California"
us,c000elta,5,"Wednesday, January  9, 2013 10:35:51 UTC",-1.9346,67.9456,4.6,10.00,61,"Carlsberg Ridge"
ak,10636357,2,"Wednesday, January  9, 2013 10:33:46 UTC",56.0026,-135.3096,2.2,20.00, 6,"Southeastern Alaska"
nc,71918111,3,"Wednesday, January  9, 2013 10:32:33 UTC",37.4223,-118.5640,2.2,15.60,34,"Central California"
nc,71918106,2,"Wednesday, January  9, 2013 10:28:47 UTC",35.9403,-119.9362,1.8,22.80,30,"Central California"
us,c000elsv,7,"Wednesday, January  9, 2013 10:27:47 UTC",-1.9117,67.8543,4.7,10.00,33,"Carlsberg Ridge"
ak,10636356,2,"Wednesday, January  9, 2013 10:26:39 UTC",55.5058,-134.9509,2.3,20.00, 7,"Southeastern Alaska"
ak,10633866,2,"Wednesday, January  9, 2013 10:09:49 UTC",60.9716,-149.2737,1.2,33.00,17,"Kenai Peninsula, Alaska"
us,c000elsj,6,"Wednesday, January  9, 2013 10:08:44 UTC",-1.9152,67.7399,4.7,10.00,29,"Carlsberg Ridge"
ak,10636354,2,"Wednesday, January  9, 2013 09:45:45 UTC",67.1202,-142.6085,2.2,5.00,14,"northern Alaska"
us,c000elsa,6,"Wednesday, January  9, 2013 09:40:52 UTC",-1.8512,67.9055,4.7,10.00,33,"Carlsberg Ridge"
ak,10636353,2,"Wednesday, January  9, 2013 09:12:05 UTC",58.5343,-137.0020,1.6,3.40, 8,"Southeastern Alaska"
mb,13159390,2,"Wednesday, January  9, 2013 09:05:03 UTC",47.5005,-112.6896,1.0,18.10, 9,"western Montana"
us,c000els5,7,"Wednesday, January  9, 2013 09:02:39 UTC",-1.9525,67.8573,4.7,10.20,34,"Carlsberg Ridge"
ak,10633860,3,"Wednesday, January  9, 2013 09:00:58 UTC",58.5268,-137.1212,2.1,9.90,12,"Southeastern Alaska"
ak,10636351,2,"Wednesday, January  9, 2013 08:49:43 UTC",55.4361,-134.7933,2.9,20.00,11,"Southeastern Alaska"
ak,10633854,2,"Wednesday, January  9, 2013 08:45:44 UTC",65.4483,-144.6817,1.4,1.00,14,"northern Alaska"
us,c000els2,3,"Wednesday, January  9, 2013 08:39:44 UTC",-33.0820,-71.2090,4.1,66.10, 0,"Valparaiso, Chile"
nc,71918071,2,"Wednesday, January  9, 2013 08:34:41 UTC",36.0200,-120.9367,1.0,8.50,16,"Central California"
us,c000elru,4,"Wednesday, January  9, 2013 08:29:40 UTC",52.3042,-170.5179,4.4,45.30,112,"Fox Islands, Aleutian Islands, Alaska"
nc,71918066,0,"Wednesday, January  9, 2013 08:19:57 UTC",38.9547,-122.7575,1.8,3.40,19,"Northern California"
ak,10636348,2,"Wednesday, January  9, 2013 08:07:35 UTC",63.2185,-150.3406,1.3,118.80,12,"Central Alaska"
ak,10633841,2,"Wednesday, January  9, 2013 08:03:18 UTC",61.5779,-151.9863,2.5,99.30,53,"Southern Alaska"
us,c000elrb,8,"Wednesday, January  9, 2013 07:44:20 UTC",29.7528,81.7354,5.0,34.20,117,"Nepal"
ak,10636346,2,"Wednesday, January  9, 2013 07:41:57 UTC",60.2515,-153.1827,2.2,159.80,29,"Southern Alaska"
ci,15271513,2,"Wednesday, January  9, 2013 07:39:40 UTC",33.3357,-116.9270,1.8,15.70,90,"Southern California"
ak,10636345,2,"Wednesday, January  9, 2013 07:15:00 UTC",55.5360,-134.9909,2.4,20.00, 8,"Southeastern Alaska"
nc,71918021,2,"Wednesday, January  9, 2013 07:13:52 UTC",37.4715,-121.8193,1.0,7.50,21,"San Francisco Bay area, California"
pr,13009001,0,"Wednesday, January  9, 2013 06:57:08 UTC",18.9841,-65.2270,3.0,28.00, 5,"Puerto Rico region"
us,c000elqs,6,"Wednesday, January  9, 2013 06:50:38 UTC",-1.9155,68.0013,4.8,10.00,51,"Carlsberg Ridge"
ak,10633830,2,"Wednesday, January  9, 2013 06:42:51 UTC",51.5272,-178.0646,2.1,13.00,15,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10633828,2,"Wednesday, January  9, 2013 06:34:07 UTC",53.9059,-166.8711,1.0,4.30, 7,"Fox Islands, Aleutian Islands, Alaska"
hv,60448396,1,"Wednesday, January  9, 2013 06:27:04 UTC",19.2207,-155.3592,1.8,14.00, 9,"Island of Hawaii, Hawaii"
ak,10636342,2,"Wednesday, January  9, 2013 06:25:10 UTC",58.8165,-154.6988,2.4,151.40,18,"Alaska Peninsula"
nc,71918011,2,"Wednesday, January  9, 2013 06:23:45 UTC",38.9618,-122.7585,1.1,2.20,18,"Northern California"
us,c000elqh,5,"Wednesday, January  9, 2013 06:21:57 UTC",-1.9276,68.0310,4.9,10.00,53,"Carlsberg Ridge"
ak,10636341,2,"Wednesday, January  9, 2013 06:07:32 UTC",64.8293,-152.7736,1.1,7.70,10,"Central Alaska"
ak,10636340,2,"Wednesday, January  9, 2013 06:07:12 UTC",55.3423,-134.6236,2.3,13.50, 8,"Southeastern Alaska"
ak,10633825,2,"Wednesday, January  9, 2013 06:05:46 UTC",60.1484,-141.3888,1.5,0.00, 7,"Southern Alaska"
ak,10633822,2,"Wednesday, January  9, 2013 06:01:36 UTC",61.5369,-147.8909,1.0,6.80,10,"Southern Alaska"
ak,10633821,2,"Wednesday, January  9, 2013 05:48:00 UTC",61.9140,-147.6972,1.1,40.60,12,"Southern Alaska"
ak,10633818,2,"Wednesday, January  9, 2013 05:41:57 UTC",58.1865,-155.2709,1.5,4.50, 8,"Alaska Peninsula"
nc,71917996,3,"Wednesday, January  9, 2013 05:37:18 UTC",38.7582,-122.7237,2.1,1.80,65,"Northern California"
nc,71919136,2,"Wednesday, January  9, 2013 05:37:17 UTC",37.5315,-119.3947,1.2,8.90,22,"Central California"
us,c000elpu,7,"Wednesday, January  9, 2013 05:27:04 UTC",-1.9368,68.0315,5.0,10.00,94,"Carlsberg Ridge"
nc,71917981,3,"Wednesday, January  9, 2013 05:25:36 UTC",38.7753,-122.7298,2.0,1.80,58,"Northern California"
nc,71917976,0,"Wednesday, January  9, 2013 05:23:23 UTC",38.9502,-122.7653,1.6,3.50, 9,"Northern California"
ci,15271497,2,"Wednesday, January  9, 2013 05:22:55 UTC",33.3327,-116.3575,1.0,15.10,48,"Southern California"
us,c000elp6,5,"Wednesday, January  9, 2013 04:46:29 UTC",-1.8598,67.8837,4.9,10.00,21,"Carlsberg Ridge"
ak,10633800,2,"Wednesday, January  9, 2013 04:40:08 UTC",63.2250,-150.1478,1.2,111.30,14,"Central Alaska"
ak,10636334,2,"Wednesday, January  9, 2013 04:35:37 UTC",55.7300,-134.9822,2.2,20.00, 6,"Southeastern Alaska"
ci,15271489,2,"Wednesday, January  9, 2013 04:13:52 UTC",34.0432,-117.2497,1.1,18.30,37,"Greater Los Angeles area, California"
us,c000elns,6,"Wednesday, January  9, 2013 04:12:48 UTC",55.3336,-134.9476,4.7,10.00, 0,"Southeastern Alaska"
ci,15271481,2,"Wednesday, January  9, 2013 04:12:43 UTC",32.6677,-115.9660,2.2,7.70,40,"Southern California"
nn,00399108,9,"Wednesday, January  9, 2013 04:10:25 UTC",37.2999,-114.9795,1.0,10.10, 8,"Nevada"
nc,71917951,2,"Wednesday, January  9, 2013 04:00:56 UTC",39.4412,-123.2807,1.5,0.60,12,"Northern California"
nc,71917931,0,"Wednesday, January  9, 2013 03:38:19 UTC",38.9617,-122.7560,1.5,1.70, 8,"Northern California"
ak,10636332,2,"Wednesday, January  9, 2013 03:37:01 UTC",55.6177,-134.9413,2.5,20.00, 9,"Southeastern Alaska"
nc,71917921,4,"Wednesday, January  9, 2013 03:23:05 UTC",37.1440,-119.2902,1.7,19.60,20,"Central California"
nc,71917916,0,"Wednesday, January  9, 2013 03:17:23 UTC",38.7518,-122.7175,1.1,3.20,13,"Northern California"
nc,71917906,0,"Wednesday, January  9, 2013 03:14:02 UTC",38.9565,-122.7612,1.9,2.60,10,"Northern California"
ci,15271457,2,"Wednesday, January  9, 2013 02:46:53 UTC",32.2270,-115.2127,2.3,13.80,15,"Baja California, Mexico"
ak,10633764,3,"Wednesday, January  9, 2013 02:44:02 UTC",67.1076,-142.5044,2.7,4.00,15,"northern Alaska"
nc,71917886,1,"Wednesday, January  9, 2013 02:40:21 UTC",38.8163,-122.8105,1.3,3.60,30,"Northern California"
ak,10636330,2,"Wednesday, January  9, 2013 02:40:20 UTC",67.1020,-142.8046,2.0,7.70, 9,"northern Alaska"
ci,15271449,2,"Wednesday, January  9, 2013 02:32:39 UTC",33.6010,-116.8122,1.2,10.50,55,"Southern California"
pr,13009000,0,"Wednesday, January  9, 2013 02:32:04 UTC",18.4669,-67.3442,2.4,21.00, 5,"Mona Passage, Puerto Rico"
ci,15271441,2,"Wednesday, January  9, 2013 02:18:19 UTC",33.2748,-116.7838,1.0,13.20,58,"Southern California"
ak,10636329,2,"Wednesday, January  9, 2013 02:12:02 UTC",61.7547,-146.8609,1.2,34.30,15,"Southern Alaska"
ak,10633748,3,"Wednesday, January  9, 2013 02:06:00 UTC",62.0863,-153.1815,2.1,4.60,26,"Central Alaska"
ak,10636327,2,"Wednesday, January  9, 2013 01:56:21 UTC",63.6198,-149.8187,1.6,120.40,18,"Central Alaska"
nc,71917876,0,"Wednesday, January  9, 2013 01:55:15 UTC",38.8240,-122.8235,1.2,2.00,21,"Northern California"
us,c000elmf,C,"Wednesday, January  9, 2013 01:41:53 UTC",25.3217,95.0210,5.8,90.50,392,"Myanmar"
nc,71917861,3,"Wednesday, January  9, 2013 01:34:53 UTC",38.9528,-122.7567,2.2,4.20,53,"Northern California"
nc,71917866,2,"Wednesday, January  9, 2013 01:34:07 UTC",38.9575,-122.7603,1.1,3.50,37,"Northern California"
ak,10633719,2,"Wednesday, January  9, 2013 01:28:04 UTC",62.0417,-150.3395,1.3,13.20,17,"Central Alaska"
nc,71917856,2,"Wednesday, January  9, 2013 01:23:31 UTC",38.9545,-122.7568,1.0,1.20,16,"Northern California"
nc,71917831,0,"Wednesday, January  9, 2013 00:56:43 UTC",38.9637,-122.7558,1.4,1.90, 6,"Northern California"
ci,15271425,2,"Wednesday, January  9, 2013 00:48:11 UTC",36.8750,-117.4212,1.8,2.00,21,"Central California"
nc,71917806,1,"Wednesday, January  9, 2013 00:46:11 UTC",38.8743,-122.8178,1.7,2.40,26,"Northern California"
nc,71917811,0,"Wednesday, January  9, 2013 00:46:01 UTC",38.8348,-122.8373,1.1,7.20,13,"Northern California"
nc,71917801,0,"Wednesday, January  9, 2013 00:44:43 UTC",38.9605,-122.7567,1.5,1.90, 7,"Northern California"
nc,71917796,0,"Wednesday, January  9, 2013 00:38:51 UTC",38.9548,-122.7617,1.6,3.00, 9,"Northern California"
ci,15271417,2,"Wednesday, January  9, 2013 00:33:54 UTC",36.0012,-117.7893,1.2,1.10,30,"Central California"
nc,71917776,3,"Wednesday, January  9, 2013 00:31:34 UTC",38.9513,-122.7593,2.8,2.40,66,"Northern California"
ak,10633429,2,"Wednesday, January  9, 2013 00:31:30 UTC",64.9952,-147.3775,1.5,0.00,12,"Central Alaska"
nc,71068774,2,"Wednesday, January  9, 2013 00:28:50 UTC",40.4528,-121.5065,1.0,3.90, 8,"Lassen Peak area, California"
nc,71917771,2,"Wednesday, January  9, 2013 00:25:46 UTC",38.9568,-122.7605,1.9,3.00,51,"Northern California"
ak,10636323,2,"Wednesday, January  9, 2013 00:23:33 UTC",62.2537,-149.1084,1.0,54.00,14,"Central Alaska"
uw,60490357,2,"Wednesday, January  9, 2013 00:20:47 UTC",43.2705,-123.3072,1.1,0.00, 6,"Oregon"
us,c000elj8,F,"Wednesday, January  9, 2013 00:17:52 UTC",46.8052,152.5151,4.6,54.30,111,"Kuril Islands"
ak,10633399,2,"Wednesday, January  9, 2013 00:17:38 UTC",63.1621,-150.6033,2.4,116.50,56,"Central Alaska"
ak,10633395,2,"Wednesday, January  9, 2013 00:13:41 UTC",59.8475,-152.1611,2.4,62.50,43,"Southern Alaska"
ci,15271409,4,"Wednesday, January  9, 2013 00:09:23 UTC",35.0422,-117.6752,1.2,0.00,13,"Southern California"
ak,10633394,2,"Wednesday, January  9, 2013 00:08:27 UTC",63.3864,-151.2832,1.0,5.80,13,"Central Alaska"
nc,71917756,2,"Wednesday, January  9, 2013 00:04:53 UTC",37.7152,-122.1318,1.2,10.20,22,"San Francisco Bay area, California"
ak,10633386,2,"Wednesday, January  9, 2013 00:02:56 UTC",63.1315,-150.6948,1.5,127.90,19,"Central Alaska"
nc,71917751,1,"Tuesday, January  8, 2013 23:58:20 UTC",38.7677,-122.7120,2.0,2.20,26,"Northern California"
ci,15271377,2,"Tuesday, January  8, 2013 23:56:55 UTC",33.8925,-116.8195,1.0,19.00,57,"Southern California"
nc,71917746,2,"Tuesday, January  8, 2013 23:55:31 UTC",37.5093,-119.3837,1.4,13.60,16,"Central California"
us,c000elit,4,"Tuesday, January  8, 2013 23:42:57 UTC",-2.2579,68.0303,4.6,10.00,37,"Carlsberg Ridge"
us,c000elil,5,"Tuesday, January  8, 2013 23:38:43 UTC",-2.0634,67.9835,4.8,10.00,38,"Carlsberg Ridge"
nc,71917731,2,"Tuesday, January  8, 2013 23:33:28 UTC",37.5893,-121.7185,1.3,6.60,17,"Northern California"
us,c000elii,5,"Tuesday, January  8, 2013 23:31:49 UTC",-1.9770,68.0116,4.7,10.10,19,"Carlsberg Ridge"
us,c000eli9,3,"Tuesday, January  8, 2013 23:18:36 UTC",35.5146,-97.3707,2.6,5.30, 7,"Oklahoma City urban area, Oklahoma"
ak,10633351,1,"Tuesday, January  8, 2013 22:47:58 UTC",63.5521,-147.5443,1.5,2.50,14,"Central Alaska"
ak,10633344,1,"Tuesday, January  8, 2013 22:37:42 UTC",60.3463,-141.2655,1.7,16.10, 5,"Southern Alaska"
ak,10633334,2,"Tuesday, January  8, 2013 22:31:40 UTC",60.5886,-152.0989,2.3,101.40,32,"Southern Alaska"
uu,60009887,4,"Tuesday, January  8, 2013 22:23:10 UTC",39.8132,-111.5640,1.7,3.80,16,"Utah"
uu,60009892,4,"Tuesday, January  8, 2013 22:22:17 UTC",39.8113,-111.5707,1.7,5.50,18,"Utah"
ci,15271345,2,"Tuesday, January  8, 2013 22:13:21 UTC",34.2310,-117.4817,1.8,11.30,92,"Southern California"
ci,15271337,2,"Tuesday, January  8, 2013 22:05:17 UTC",35.6885,-118.0867,1.2,2.20,42,"Central California"
nc,71917641,1,"Tuesday, January  8, 2013 21:50:38 UTC",38.8100,-122.7412,1.3,2.70,28,"Northern California"
nc,71917621,0,"Tuesday, January  8, 2013 21:34:40 UTC",38.9513,-122.7605,1.6,3.50,10,"Northern California"
nc,71917616,2,"Tuesday, January  8, 2013 21:32:39 UTC",37.4213,-118.3223,1.5,6.30,16,"Central California"
nc,71917611,0,"Tuesday, January  8, 2013 21:30:44 UTC",38.8475,-122.7682,1.3,1.40,20,"Northern California"
us,c000eldx,8,"Tuesday, January  8, 2013 21:26:55 UTC",-34.4286,179.1698,5.4,8.40,58,"south of the Kermadec Islands"
ak,10633301,1,"Tuesday, January  8, 2013 21:22:42 UTC",60.5900,-144.8550,1.7,5.70, 8,"Southern Alaska"
ak,10633289,1,"Tuesday, January  8, 2013 20:55:36 UTC",63.9334,-148.8594,2.1,0.00,27,"Central Alaska"
ak,10633287,1,"Tuesday, January  8, 2013 20:50:17 UTC",62.1183,-145.3699,1.6,18.80, 7,"Central Alaska"
ci,15271305,4,"Tuesday, January  8, 2013 20:34:23 UTC",32.5980,-116.9805,1.5,2.70,35,"San Diego County urban area, California"
uw,60490302,2,"Tuesday, January  8, 2013 20:34:19 UTC",48.0955,-121.9600,1.1,0.00,11,"Puget Sound region, Washington"
ak,10633277,1,"Tuesday, January  8, 2013 20:27:57 UTC",63.5429,-150.8844,1.7,1.00, 5,"Central Alaska"
mb,13896315,2,"Tuesday, January  8, 2013 20:23:07 UTC",44.5970,-112.1591,2.3,8.10,34,"western Montana"
uu,60009862,4,"Tuesday, January  8, 2013 20:20:11 UTC",39.8037,-111.5683,1.5,4.40,28,"Utah"
us,c000elb2,B,"Tuesday, January  8, 2013 20:15:05 UTC",-10.2935,161.6659,5.2,87.40,92,"Solomon Islands"
ci,15271297,2,"Tuesday, January  8, 2013 20:11:05 UTC",36.7905,-117.5405,1.6,2.70,20,"Central California"
ak,10633269,1,"Tuesday, January  8, 2013 20:09:36 UTC",65.3688,-144.9390,1.5,0.20, 6,"northern Alaska"
ci,15271289,2,"Tuesday, January  8, 2013 20:05:51 UTC",36.7880,-117.5395,1.9,2.10,29,"Central California"
ak,10633260,1,"Tuesday, January  8, 2013 20:05:45 UTC",63.2505,-149.6490,1.5,54.20,10,"Central Alaska"
nc,71917581,0,"Tuesday, January  8, 2013 20:03:30 UTC",38.9527,-122.7600,1.8,2.90,10,"Northern California"
