Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15272457,0,"Saturday, January 12, 2013 11:32:46 UTC",33.6152,-116.8485,1.4,16.80,67,"Southern California"
us,b000emwn,8,"Saturday, January 12, 2013 11:19:51 UTC",43.6310,-127.3821,4.3,10.10,151,"off the coast of Oregon"
pr,13012022,0,"Saturday, January 12, 2013 11:10:04 UTC",19.6800,-64.4830,3.2,19.00, 7,"Virgin Islands region"
nc,71920426,1,"Saturday, January 12, 2013 11:04:11 UTC",38.8128,-122.8263,2.4,2.60,45,"Northern California"
nc,71920421,0,"Saturday, January 12, 2013 10:58:17 UTC",35.5438,-120.8750,1.3,3.10,15,"Central California"
ak,10637380,1,"Saturday, January 12, 2013 10:46:43 UTC",61.6016,-147.9368,1.6,28.50,12,"Southern Alaska"
ci,15272441,0,"Saturday, January 12, 2013 10:44:56 UTC",33.3032,-116.2992,1.8,10.90,111,"Southern California"
ak,10637376,2,"Saturday, January 12, 2013 10:34:50 UTC",62.8658,-150.4734,1.3,83.70,15,"Central Alaska"
pr,13012019,0,"Saturday, January 12, 2013 10:28:33 UTC",18.2973,-66.7748,1.9,2.00, 4,"Puerto Rico"
pr,13012021,0,"Saturday, January 12, 2013 10:28:26 UTC",19.4620,-64.1460,2.8,89.00, 4,"Virgin Islands region"
us,b000emwj,4,"Saturday, January 12, 2013 10:22:07 UTC",-18.8784,169.2104,4.7,212.60,92,"Vanuatu"
pr,13012024,0,"Saturday, January 12, 2013 10:17:13 UTC",19.3390,-67.5385,3.2,31.00, 7,"Puerto Rico region"
pr,13012015,0,"Saturday, January 12, 2013 09:49:11 UTC",19.6905,-64.2429,2.8,14.00, 3,"Virgin Islands region"
pr,13012014,0,"Saturday, January 12, 2013 09:46:23 UTC",19.6340,-64.3000,2.6,17.00, 3,"Virgin Islands region"
ak,10637363,1,"Saturday, January 12, 2013 09:41:20 UTC",61.7933,-147.3895,1.5,36.10,15,"Southern Alaska"
ak,10637362,1,"Saturday, January 12, 2013 09:40:45 UTC",57.8248,-155.6121,2.0,13.50, 6,"Alaska Peninsula"
nc,71920371,0,"Saturday, January 12, 2013 09:20:32 UTC",38.7772,-122.7250,1.2,2.70,16,"Northern California"
pr,13012016,0,"Saturday, January 12, 2013 09:18:04 UTC",19.5946,-64.3373,2.7,57.00, 4,"Virgin Islands region"
us,b000emw0,8,"Saturday, January 12, 2013 09:15:13 UTC",-2.0732,138.8590,5.0,44.30,53,"Papua, Indonesia"
pr,13012013,0,"Saturday, January 12, 2013 09:07:36 UTC",19.6835,-64.2515,3.4,43.00, 7,"Virgin Islands region"
nc,71920356,0,"Saturday, January 12, 2013 08:46:58 UTC",38.8275,-122.8515,1.2,2.40,21,"Northern California"
pr,13012012,0,"Saturday, January 12, 2013 08:34:54 UTC",19.4550,-64.1829,3.0,71.00, 4,"Virgin Islands region"
pr,13012011,0,"Saturday, January 12, 2013 08:29:45 UTC",19.4696,-64.3031,2.7,66.00, 3,"Virgin Islands region"
ak,10637352,2,"Saturday, January 12, 2013 08:24:29 UTC",51.2826,-178.4394,2.7,23.20,12,"Andreanof Islands, Aleutian Islands, Alaska"
nn,00399494,9,"Saturday, January 12, 2013 08:19:30 UTC",38.4983,-117.8978,1.4,14.70, 7,"Nevada"
pr,13012009,0,"Saturday, January 12, 2013 07:53:38 UTC",19.4549,-64.2567,3.0,76.00, 3,"Virgin Islands region"
nn,00399493,9,"Saturday, January 12, 2013 07:46:35 UTC",39.2154,-120.0644,1.2,7.90,16,"Northern California"
nc,71920331,0,"Saturday, January 12, 2013 07:41:58 UTC",39.2082,-120.0767,1.6,4.50,13,"Northern California"
ci,15272417,0,"Saturday, January 12, 2013 07:28:54 UTC",34.1020,-117.3158,2.4,16.30,178,"Greater Los Angeles area, California"
pr,13012010,0,"Saturday, January 12, 2013 07:03:42 UTC",19.7038,-64.2546,2.6,24.00, 3,"Virgin Islands region"
uw,60490977,1,"Saturday, January 12, 2013 07:03:14 UTC",49.0150,-122.1998,1.6,14.00,10,"British Columbia, Canada"
ak,10637337,2,"Saturday, January 12, 2013 06:44:01 UTC",63.4157,-150.1990,1.4,112.80,18,"Central Alaska"
nc,71920316,1,"Saturday, January 12, 2013 06:42:27 UTC",38.8208,-122.7605,2.1,2.20,39,"Northern California"
ci,15272409,0,"Saturday, January 12, 2013 06:35:50 UTC",34.5323,-118.1627,1.4,10.50,23,"Southern California"
pr,13012008,0,"Saturday, January 12, 2013 06:27:41 UTC",19.5396,-64.2994,3.0,55.00, 5,"Virgin Islands region"
ak,10637331,2,"Saturday, January 12, 2013 06:25:05 UTC",63.7844,-149.2048,1.2,115.70,16,"Central Alaska"
